blockKey,total,went,rate,smoothedRate,meetsMinSample
"Behind 15+ | H2 Early | YTG 31-40 | Dist 3-5",312,217,0.6955,0.6531,true
"Ahead 15+ | H2 Mid | YTG 61-70 | Dist 6-8",310,9,0.0290,0.0452,true
"Behind 6-8 | H1 Early | YTG 41-50 | Dist 6-8",310,27,0.0871,0.0981,true
"Tied | H1 Early | YTG 61-70 | Dist 15-20",308,4,0.0130,0.0306,true
"Behind 6-8 | H1 Mid | YTG 61-70 | Dist 3-5",306,27,0.0882,0.0993,true
"Behind 9-14 | H2 Early | YTG 71-80 | Dist 6-8",305,8,0.0262,0.0428,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 1",304,187,0.6151,0.5789,true
"Behind 15+ | H2 Mid | YTG 21-30 | Dist 6-8",303,184,0.6073,0.5716,true
"Behind 6-8 | H1 Early | YTG 51-60 | Dist 6-8",302,7,0.0232,0.0402,true
"Tied | H1 Mid | YTG 61-70 | Dist 3-5",299,16,0.0535,0.0679,true
"Behind 6-8 | H1 Early | YTG 71-80 | Dist 3-5",297,10,0.0337,0.0500,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 1",294,156,0.5306,0.5011,true
"Behind 15+ | H2 Mid | YTG 1-10 | Dist 3-5",293,229,0.7816,0.7286,true
"Behind 6-8 | H1 Early | YTG 41-50 | Dist 3-5",292,52,0.1781,0.1812,true
"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 6-8",292,106,0.3630,0.3489,true
"Tied | H1 Early | YTG 81-90 | Dist 3-5",290,10,0.0345,0.0511,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 1",288,93,0.3229,0.3124,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 11-14",288,15,0.0521,0.0671,true
"Tied | H1 Early | YTG 31-40 | Dist 2",286,176,0.6154,0.5771,true
"Ahead 3-5 | H1 Early | YTG 21-30 | Dist 6-8",283,7,0.0247,0.0427,true
"Behind 15+ | H2 Early | YTG 71-80 | Dist 15-20",283,5,0.0177,0.0363,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 9-10",283,59,0.2085,0.2088,true
"Ahead 15+ | H2 Mid | YTG 71-80 | Dist 6-8",283,6,0.0212,0.0395,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 9-10",279,21,0.0753,0.0885,true
"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 6-8",279,34,0.1219,0.1306,true
"Ahead 9-14 | H1 Mid | YTG 1-10 | Dist 3-5",278,26,0.0935,0.1050,true
"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 6-8",277,4,0.0144,0.0337,true
"Ahead 15+ | H2 Early | YTG 51-60 | Dist 3-5",276,15,0.0543,0.0698,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 15-20",276,13,0.0471,0.0632,true
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 9-10",274,117,0.4270,0.4058,true
"Ahead 15+ | H2 Mid | YTG 71-80 | Dist 3-5",273,12,0.0440,0.0606,true
"Tied | H1 Early | YTG 41-50 | Dist 15-20",271,5,0.0185,0.0377,true
"Behind 15+ | H2 Early | YTG 21-30 | Dist 6-8",270,88,0.3259,0.3145,true
"Behind 9-14 | H1 Mid | YTG 61-70 | Dist 6-8",269,19,0.0706,0.0848,true
"Tied | H1 Early | YTG 11-20 | Dist 1",268,231,0.8619,0.7965,true
"Behind 9-14 | H1 Mid | YTG 71-80 | Dist 9-10",267,3,0.0112,0.0315,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 11-14",265,54,0.2038,0.2046,true
"Ahead 3-5 | H1 Early | YTG 21-30 | Dist 3-5",263,9,0.0342,0.0524,true
"Tied | H1 Mid | YTG 51-60 | Dist 3-5",261,12,0.0460,0.0631,true
"Behind 6-8 | H1 Mid | YTG 61-70 | Dist 6-8",259,9,0.0347,0.0531,true
"Ahead 3-5 | H1 Mid | YTG 1-10 | Dist 3-5",255,17,0.0667,0.0819,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 1",252,202,0.8016,0.7388,true
"Ahead 15+ | H2 Mid | YTG 1-10 | Dist 6-8",252,25,0.0992,0.1112,true
"Tied | H1 Mid | YTG 71-80 | Dist 6-8",251,2,0.0080,0.0297,true
"Behind 3-5 | H1 Early | YTG 71-80 | Dist 6-8",251,2,0.0080,0.0297,true
"Ahead 9-14 | H2 Early | YTG 61-70 | Dist 3-5",251,15,0.0598,0.0760,true
"Behind 9-14 | H1 Mid | YTG 51-60 | Dist 6-8",249,8,0.0321,0.0514,true
"Behind 15+ | H2 Early | YTG 51-60 | Dist 9-10",247,14,0.0567,0.0735,true
"Behind 15+ | H2 Early | YTG 31-40 | Dist 6-8",246,137,0.5569,0.5194,true
"Behind 6-8 | H1 Mid | YTG 51-60 | Dist 6-8",246,8,0.0325,0.0520,true
"Behind 15+ | H1 Mid | YTG 71-80 | Dist 9-10",246,4,0.0163,0.0375,true
"Ahead 15+ | H2 Early | YTG 1-10 | Dist 1",245,204,0.8327,0.7649,true
"Ahead 15+ | H2 Early | YTG 21-30 | Dist 3-5",245,85,0.3469,0.3322,true
"Ahead 15+ | H2 Early | YTG 31-40 | Dist 3-5",244,115,0.4713,0.4429,true
"Ahead 15+ | H2 Early | YTG 41-50 | Dist 3-5",244,34,0.1393,0.1473,true
"Behind 6-8 | H1 Early | YTG 31-40 | Dist 3-5",243,115,0.4733,0.4445,true
"Behind 15+ | H2 Mid | YTG 11-20 | Dist 3-5",242,184,0.7603,0.6998,true
"Tied | H1 Early | YTG 71-80 | Dist 2",242,19,0.0785,0.0932,true
"Ahead 3-5 | H1 Early | YTG 11-20 | Dist 11-14",241,0,0.0000,0.0234,true
"Ahead 15+ | H2 Early | YTG 61-70 | Dist 6-8",241,7,0.0290,0.0493,true
"Behind 15+ | H2 Early | YTG 21-30 | Dist 3-5",239,130,0.5439,0.5069,true
"Tied | H1 Mid | YTG 41-50 | Dist 6-8",236,9,0.0381,0.0577,true
"Ahead 15+ | H2 Early | YTG 71-80 | Dist 6-8",235,5,0.0213,0.0428,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 15-20",234,32,0.1368,0.1453,true
"Tied | H1 Early | YTG 21-30 | Dist 9-10",234,20,0.0855,0.0998,true
"Behind 15+ | H1 Mid | YTG 71-80 | Dist 11-14",234,4,0.0171,0.0392,true
"Tied | H1 Mid | YTG 61-70 | Dist 6-8",234,15,0.0641,0.0809,true
